diff_author_match,diff_genre_match,diff_intended_reader_match,diff_summary_match,diff_title_match,id1,id1>id2,id2,keyword,subject
0,0.0,0.0,-3.1854972999999998,-5.4045806,http://gihyo.jp/book/2012/978-4-7741-5110-6,0,http://gihyo.jp/book/2010/978-4-7741-4175-6,検索,Osugi
0,0.0,0.0,0.0,-6.254256,http://gihyo.jp/book/2012/978-4-7741-5110-6,0,http://gihyo.jp/book/2008/978-4-7741-3605-9,検索,Osugi
0,0.0,0.0,-1.5034013000000002,0.0,http://gihyo.jp/book/2012/978-4-7741-5110-6,0,http://gihyo.jp/book/2016/978-4-7741-8167-7,検索,Osugi
0,0.0,0.0,-2.3201790000000004,0.0,http://gihyo.jp/book/2012/978-4-7741-5110-6,0,http://gihyo.jp/book/2015/978-4-7741-7585-0,検索,Osugi
0,0.0,-5.0947356,0.0,0.0,http://gihyo.jp/book/2012/978-4-7741-5110-6,0,http://gihyo.jp/book/2008/978-4-7741-3432-1,検索,Osugi
0,0.0,-5.0947356,-1.0414754000000004,-5.4045806,http://gihyo.jp/book/2012/978-4-7741-5110-6,0,http://gihyo.jp/book/2014/978-4-7741-6163-1,検索,Osugi
0,0.0,0.0,-3.1854972999999998,-5.4045806,http://gihyo.jp/book/2009/978-4-7741-3703-2,0,http://gihyo.jp/book/2010/978-4-7741-4175-6,検索,Osugi
0,0.0,0.0,0.0,-6.254256,http://gihyo.jp/book/2009/978-4-7741-3703-2,0,http://gihyo.jp/book/2008/978-4-7741-3605-9,検索,Osugi
0,0.0,0.0,-1.5034013000000002,0.0,http://gihyo.jp/book/2009/978-4-7741-3703-2,0,http://gihyo.jp/book/2016/978-4-7741-8167-7,検索,Osugi
0,0.0,0.0,-2.3201790000000004,0.0,http://gihyo.jp/book/2009/978-4-7741-3703-2,0,http://gihyo.jp/book/2015/978-4-7741-7585-0,検索,Osugi
0,0.0,-5.0947356,0.0,0.0,http://gihyo.jp/book/2009/978-4-7741-3703-2,0,http://gihyo.jp/book/2008/978-4-7741-3432-1,検索,Osugi
