subject,keyword,id,title,title_match,summary_match,author_match,genre_match,intended_reader_match,label
Osugi,検索,http://gihyo.jp/book/2012/978-4-7741-5110-6,今すぐ使えるかんたん mini　OneNote 2010 基本&amp;便利技,0,3.683649,0,0,0,2
Osugi,検索,http://gihyo.jp/book/2009/978-4-7741-3703-2,今すぐ使えるかんたんmini Excel 関数 厳選 50,0,3.683649,0,0,0,2
Osugi,検索,http://gihyo.jp/book/2010/978-4-7741-4175-6,Apache Solr入門――オープンソース全文検索エンジン,5.4045806,6.8691463,0,0,0,5
Osugi,検索,http://gihyo.jp/book/2016/978-4-7741-8125-7,［逆引き］Excel関数 パワーテクニック 600 ［2016/2013/2010/2007対応］,0,3.683649,0,0,0,2
Osugi,検索,http://gihyo.jp/book/2008/978-4-7741-3605-9,Excelデータベース　検索・抽出・分析辞典,6.254256,3.683649,0,0,0,3
Osugi,検索,http://gihyo.jp/book/2012/978-4-7741-4980-6,Ruby on Rails 3ポケットリファレンス,0,3.234533,0,0,0,2
Osugi,検索,http://gihyo.jp/book/2016/978-4-7741-8167-7,今すぐ使えるかんたんEx　Googleサービス ［決定版］ プロ技セレクション,0,5.1870503,0,0,0,3
Osugi,検索,http://gihyo.jp/book/2015/978-4-7741-7585-0,今すぐ使えるかんたんmini　ヤフーYahoo! 基本＆便利技,0,6.003828,0,0,0,3
Osugi,検索,http://gihyo.jp/book/2008/978-4-7741-3432-1,Googleを支える技術 ……巨大システムの内側の世界,0,3.683649,0,0,5.0947356,4
Osugi,検索,http://gihyo.jp/book/2014/978-4-7741-6163-1,［改訂新版］Apache Solr入門――オープンソース全文検索エンジン,5.4045806,4.7251244,0,0,5.0947356,5
Osugi,パソコン,http://gihyo.jp/book/2007/978-4-7741-3227-3,とってもカンタン いますぐできる！ バックアップと再インストール Windows Vista対応,0,0,0,0.6460362,0,3
Osugi,パソコン,http://gihyo.jp/book/2014/978-4-7741-6456-4,今すぐ使えるかんたん ぜったいデキます！ パソコン超入門 [Windows 8.1 Update 対応版],2.5814793,2.9764388,0,0.83823705,3.5267067,5
Osugi,パソコン,http://gihyo.jp/book/2013/978-4-7741-5511-1,Windows8 上級マニュアル 上巻,0,0,0,0.6460362,0,2
Osugi,パソコン,http://gihyo.jp/book/2013/978-4-7741-5889-1,今すぐ使えるかんたん Word ＆ Excel ＆ PowerPoint 2013,0,0,0,0.6460362,0,3
Osugi,パソコン,http://gihyo.jp/book/2009/978-4-7741-3949-4,Accessクエリポケットリファレンス,0,0,0,0.6460362,0,1
Osugi,パソコン,http://gihyo.jp/book/2010/978-4-7741-4298-2,今すぐ使えるかんたん パソコンの困った！を今すぐ解決する本［Windows 7対応］,2.5814793,2.3690543,0,0.6460362,2.1960845,4
Osugi,パソコン,http://gihyo.jp/book/2012/978-4-7741-5110-6,今すぐ使えるかんたん mini　OneNote 2010 基本&amp;便利技,0,0,0,0.55378205,1.9030205,2
Osugi,パソコン,http://gihyo.jp/book/2014/978-4-7741-6639-1,今すぐ使えるかんたんmini　Word 2013で困ったときの解決＆便利技,0,0,0,0.6460362,0,3
Osugi,パソコン,http://gihyo.jp/book/2013/978-4-7741-5748-1,今すぐ使えるかんたん Wi-Fi 無線LAN 入門ガイド,0,2.3690543,0,0,0,3
Osugi,パソコン,http://gihyo.jp/book/2013/978-4-7741-5979-9,例題30＋演習問題70でしっかり学ぶ Word標準テキスト Windows8/Office2013対応版,0,0,0,0.6460362,0,3
Osugi,開発,http://gihyo.jp/book/2009/978-4-7741-3949-4,Accessクエリポケットリファレンス,0,1.6418716,0,0,2.208123,2
Osugi,開発,http://gihyo.jp/book/2016/978-4-7741-7986-5,ゴールからはじめるC#　～「作りたいもの」でプログラミングのきほんがわかる,0,0,0,0.9173024,0,3
Osugi,開発,http://gihyo.jp/book/2013/978-4-7741-5522-7,サウンドプログラミング入門――音響合成の基本とC言語による実装,0,0,0,1.0703378,0,1
Osugi,開発,http://gihyo.jp/book/2013/978-4-7741-5828-0,Ｃ#による マルチコアのための非同期／並列処理プログラミング,0,0,0,0.9173024,1.8082244,3
Osugi,開発,http://gihyo.jp/book/2016/978-4-7741-7802-8,APIデザインケーススタディ ――Rubyの実例から学ぶ。問題に即したデザインと普遍の考え方,0,0,0,0.9173024,0,4
Osugi,開発,http://gihyo.jp/book/2015/978-4-7741-7594-2,Ｃ# 6 実践的プログラミング［入門］講座,0,2.1060767,0,0.9173024,1.8082244,3
Osugi,開発,http://gihyo.jp/book/2010/978-4-7741-4098-8,かんたんプログラミング　Visual Basic 2008 基礎編,0,0,0,0.9173024,0,2
Osugi,開発,http://gihyo.jp/book/2011/978-4-7741-4611-9,C言語 ポインタが理解できない理由 [改訂新版],0,0,0,1.0703378,0,2
Osugi,開発,http://gihyo.jp/book/2010/978-4-7741-4230-2,ユーザーインタフェースデザインの基礎知識　～プログラム設計からアプリケーションデザインまで～,0,1.6418716,0,1.1525334,0,5
Osugi,開発,http://gihyo.jp/book/2008/978-4-7741-3637-0,SEの教科書２ ～ 成功するSEのプロジェクト計画・運営術,0,0,0,0.7414794,0,4
